,Single Task,Proposed Method,Multi-Task
0,0.5250000357627869,0.4808333218097687,0.5299999713897705
1,0.5174999833106995,0.5274999737739563,0.5141666531562805
2,0.5266666412353516,0.5308333039283752,0.5266666412353516
3,0.5516666769981384,0.5558332800865173,0.5399999618530273
4,0.5383333563804626,0.5774999856948853,0.51583331823349
5,0.5391666293144226,0.5808333158493042,0.5149999856948853
6,0.5600000023841858,0.5383333563804626,0.5258333683013916
7,0.5450000166893005,0.5508333444595337,0.5291666388511658
8,0.5508332848548889,0.574999988079071,0.5458332896232605
9,0.5608332753181458,0.5608332753181458,0.5483333468437195
10,0.5616666674613953,0.5750000476837158,0.5258333086967468
11,0.5758333206176758,0.5766666531562805,0.5466666221618652
12,0.5674999952316284,0.6008333563804626,0.5483333468437195
13,0.6016666889190674,0.5899999737739563,0.5541666150093079
14,0.559166669845581,0.5933333039283752,0.5483333468437195
15,0.5833333134651184,0.5991666913032532,0.5533333420753479
16,0.5608332753181458,0.5874999165534973,0.5524999499320984
17,0.6066667437553406,0.6124999523162842,0.5550000071525574
18,0.5991666913032532,0.5899999737739563,0.5699999332427979
19,0.5899999737739563,0.5733333230018616,0.54666668176651
