,Single Task,Proposed Method,Multi-Task
0,0.5925000309944153,0.643333375453949,0.5800000429153442
1,0.67249995470047,0.7008333802223206,0.7225000262260437
2,0.7033333778381348,0.73416668176651,0.7641666531562805
3,0.7266666889190674,0.7416667342185974,0.7916666865348816
4,0.7308333516120911,0.7874999642372131,0.79749995470047
5,0.7283332943916321,0.809166669845581,0.8041667342185974
6,0.7408333420753479,0.8024999499320984,0.8066666722297668
7,0.7425000071525574,0.8008332848548889,0.830833375453949
8,0.7666666507720947,0.7999999523162842,0.8149999976158142
9,0.7591666579246521,0.7758333086967468,0.8066666126251221
10,0.7716667056083679,0.79666668176651,0.8199999928474426
11,0.762499988079071,0.7983333468437195,0.8149999976158142
12,0.7683332562446594,0.8058332800865173,0.8391666412353516
13,0.75,0.794166624546051,0.8316667079925537
14,0.7666666507720947,0.8191666007041931,0.8383333086967468
15,0.762499988079071,0.8149999976158142,0.8316666483879089
16,0.7741666436195374,0.8066666126251221,0.8349999785423279
17,0.7933332920074463,0.8325000405311584,0.8441666960716248
18,0.7899999618530273,0.824999988079071,0.8433333039283752
19,0.8024999499320984,0.8299999833106995,0.8299999833106995
